No,Komentar,Label,Hasil Klasifikasi,Kategori_Positif,Kategori_Netral,Kategori_Negatif,TP_Positif,FP_Positif,TN_Positif,FN_Positif,TP_Netral,FP_Netral,TN_Netral,FN_Netral,TP_Negatif,FP_Negatif,TN_Negatif,FN_Negatif
1,cepat ketemu qris seabank ditemuin tipetipe like balas qris seabank sebanyakbanyaknya kejut spesial bikin transaksi anti wory,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
2,barusan transaksi qris livin transaksi tunda saldo potong ngembalin saldo,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
3,transport murah ngutamain tempat jangkau jalur transport kemarin coba versi transjogja harga cepat aman nyaman bayar qris transjakarta emoney cari rute gmaps movit,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
4,rumit main aplikasi hasil uang paris gacor uang tambah menit langsung masuk,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
5,inovasi bayar pajak kota bogor pakaiqris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
6,riana phm keluh keluh transaksi qris sila tungu informasi direct message terima pf,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7,usung semangat ungul bi kenal qris riau,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
8,selamat pagi sat transaksi qris cros border laku negara thailand mengunakan mbca mobile transaksi bank partner thailand integrasi jaring qris bank cimb thai beli badif,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
9,kenal transaksi qris nama belashop sfu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
10,beli alfamart alfamart nya orang item hari lihat nya orang transaksi promo shopepay sekitar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
11,protes habis kemarin bayar qris kena potong ngamuk,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
12,open jasa pinjam qris fe hitung hari transaksi bebas transaksi kali nominal langsung hubung detail testi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
13,bias beli qris pas habis tf ditunjukin jual bawa minjem hotspot ojan isi kuota pas habis bayar kuota hasil pembayaranya lihat ojan,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
14,qrisnya bi langsung kirim email scan terima push instead pul crowdfunding,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
15,lu klik qris klik muncul tau transaksi qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
16,bismilah ayo lengkapin infaq subuh qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
17,payo qris qr code bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
18,bayar parkir qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
19,netflix langsung login bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
20,asosiasi dagang pasar johar karawang transaksi qris pasar johar laku pemberlakuanya tahap,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
21,al qris ac emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
22,sobat informasi transaksi qris kartu kredit sumber mengunakan kartu kredit reguler fitur kartu kredit co branding card tokopedia card traveloka btn gadai,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
23,transaksi qris minimal rp ribu lupa langsung klik baner halaman aplikasi neobank pilih hadiah lucky box,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
24,ramai habis bank indonesia gelar riah ujung sosialisasi qris metode bayar non tunai adu cepat ptanyan uang elektronik hadiah,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
25,bismilah ayo lengkapin infaq qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
26,piece bring gren zhang hao dom bebas prefer bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
27,sun sands promo ayo serbu minimum transaksi rp juta nikmat potong rp ribu transaksi qris mybcabca mobilesakuku promo laku loh ketingalan cek lengkap,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
28,kosong qris al ac emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
29,dukung transaksi non tunai bsb luncur qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
30,layan aplikasi bsb qris mawardi yahya syarat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
31,asyik gaes kahitna hadir konser ims infinite liveterus diskon tiket bundle masuk ims surabaya bayar qris dbank pro ribu ribu beli tiket spot tiket box traktir keluarga ayang,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
32,mandiri jam gin transaksi lelet transaksi qris gagal potong,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
33,jual netflix bayar qris langsung proses,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
34,lupa pulang bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
35,kakak transaksi kakak qris sibeng,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
36,iya habis ngescan langsung close pas nunjukin status transaksi huhu tanggal qris sate martabak martabak muncul status transaksi benar bingung banget takut bayar,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
37,scan qris mengunakan aplikasi simobi bersamasama atas wabah covid saudara,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
38,rangkai bayar al ewalets qris wording hari harga affordable bundle fre request get em selagi open,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
39,pokok urus bayarbayar sat cari makan tinggal qris neobank praktis ambil hadiah ayo transaksi minimal rp ribu qris neobank ambil hadiah informasi lengkap klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
40,belanja pasar raya padang qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
41,sorry using bikin qris mending dompet prefer biaya adminya rumit sharing tambah minus kah terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
42,transaksi mengunakan qris akun pacar akun bisnis cv terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
43,jagat kasi banget sekolah bandung kanti bayar tunai qris kartu foreadaus sat jul makan sate apjay bayar qris transaksi nambah ribu,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
44,transaksi merchant qris ganguan proses daritadi butuh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
45,kosong al qris akun emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
46,selamat dunia bank mega syariah luncur fitur qris aplikasi msyariah nikmat mudah transaksi teknologi baru november,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
47,transaksi mah rumit qris gampang fitur donasi zakat thr bayar tiket kai kecangihan anti rumit,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
48,minimal konfirmasi pengunan bayar qris thailand tarif debit kartu biru transaksi negara,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
49,hlow beli netflix hari bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
50,bayar qris nungu menit bgst,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
51,informasi promo diskon mcd bayar blu qris cashback minim belanja maksimal penguna kode kupon sat bayar blumcd,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
52,merchant qris umi mdrnya transaksi qris bawah rp merchant kena mdr terims,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
53,optimalisasi qris laku usaha hinga masyarakat mudah transaksi uang dagang mudah monitor hasil mutasi penjualanya praktis cepat,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
54,minimal qris livin pending kah barusan langgan tf qris masuk riwayat transaksi potong masuk saldo tolong respons keluh minimal terima,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
55,mudah cepat tunai bcr kenyat brp persen dagang transaksi qris sept dagang gado qris laku transaksi tradisional tunai nyata,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
56,gojek kenal mudah sedekah digital qris kotak infaq nu com,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
57,show sr bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
58,qris bayar masuk nya ewalet,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
59,belanj qris bc gagal lfanya transaksi gagal sedot komplain urus gd solusi mas gabti nungu gaji kasi butuh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
60,manfat transaksi mengunakan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
61,disclaimer sering transaksi cashles kota handphone nonnfc qris makenya tonedeaf maksain orang gues orang indo tabung bank orang mayoritas hpnya kentang gd nfcnya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
62,pilih mengunakan shope partner client transaksi jalan payment qris acept terima,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
63,qris cangih banget transaksi bank edc stiker tempel sat biaya tambah,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
64,bus trans metro pasundan murah terminal leuwipanjang dago ribu rupiah fasilitas terminal leuwipanjang nyaman bayar uang elektronik qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
65,bi transaksi qris lonjak april atm laku,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
66,tementemen hatihati please benar error transaksi qris punya masuk astaghfirulah,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
67,terima hubung sosial media kredivo akun putra aktif milik limit cukup kakak transaksi mengunakan metode pembayara qris kakak ikut langkahlangkah transaksi mengunakan qr,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
68,bayar qris kartu kredit brimo gampang detik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
69,bpd bal sasar transaksi bayar daring qris pasar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
70,wih konser ims infinite live semangat banget nyanyi bareng rizki febrian tinggal beli tiket bundle promo spesial diskon ims surabaya danamon qris dbank pro beli tiket ots,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
71,mudah transaksi nasabah bsb luncur aplikasi qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
72,unika kampus terapkanqris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
73,atm kadaluarsa alhasil transaksi ngandelin qris pas minimart merah oren bilang kasir qris kris mas mbak kris kyuris kiris ngmngnya ngenyek banget,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
74,bayar qris dilebihin top ewalet potong biaya admin,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
75,beda handphone tunai brp negara ln beli jalan pasar thrift market qris ngescan ln bnrn tinggal tap detik detik aple watch,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
76,dorong implementasi qris ekosistem didik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
77,scan qris merek handphone bayar jam,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
78,bpkibu transaksi mudah belanja ofline qris belanja daring debit virtual tarik tunai kartu livin fitur livin lai klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
79,tangap perihal akun kena brute force transaksi qris laku,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
80,bismilah ayo lengkapin infaq subuh qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
81,ributransaksi bebas baya qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
82,merchant kena potong biaya konsumen bayar qris salah aneh beban konsumen,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
83,dongkrak transaksi umkm jokowi terap kartu kredit perintah qris kuat,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
84,sobat transaksi qris bayar otomatis rekening merchant transaksi jam wib transaksi jam wib masuk rekening,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
85,bayar qris notif nama lengkap bodoh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
86,rumah sakit perintah provinsi bal rs bal mandara rs mata bal mandara rs jiwa provindi bal puri raharja delengkapi transaksi digital qris qr code indonesia indonesian,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
87,senang banget jajan bayar qris danamon cashback,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
88,sel akun shared netflix gopaydanaovo akun verif scan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
89,catu agustus diresmikanya kecak adaptasi new normal digitalisasi sistem bayar bas qris quick respons code indonesian standard tempat uluwatu bal gubernur bal wayan koster,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
90,bal beli souvenir toko jalan legi bayar qris salah toko bayar rekening nama orang iya orang ingris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
91,indoapril alfa bayar make qris gas,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
92,sayang kendala bpkibu langgan proses setlement transaksi qris statis otomatis kredit rekening setlement merchant kalender terima erwan,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
93,telkomsel provider favorit bikin aktivitas hepi beli kuota orbit paket internet roamax umroh diskon rp ribu bayar qris livin mandiri ayo beli indomaret periode juli september,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
94,qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
95,mots drop tmi duluan bayar qris alfamart,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
96,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
97,kfc rp scan qris aplikasi jenius agustus laku transaksi paket penguna jenius periode program,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
98,sumpa malu banget mba sushi tei nya ngasi scan menu bingung scan tau nge scan nya qris anjeng,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
99,coba grafik alam pribadi sat ajar sistem bayar mudah lihat diagram gpn uintegrasi proses transaksi indonesia backend ritel mis transaksi kartu qris scannfc dibocorin sylv,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
100,habis nya syukur hasya laundry gendeng banget cok ribu kilo fre jemput hari hari bayar qris ahdgueuehsje love hasya laundry savior,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
101,asalamualaikum ade mohon maf ketidaknyamananya informasi transaksi qris masuk rekening kerja transaksi nyata hasil,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
102,menang hadiah scan qris simobiplus bayar belanjan jajan merchant favorit ayo bikin transaksi scan qris simobiplus raih sempat informasi sk laku,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
103,bayar ewalet bayar suruh bayar qris bjingan,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
104,ngamplop nya qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
105,qris toko shope bayar qris shopepay,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
106,qris ungul indonesia maju,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
107,kerja qris pilih penguna layan transaksi bayar lintas batas,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
108,agustus transaksi bifast bank mandiri tembus juta transaksi tumbuh capai yoy transaksi qris kalah terus tumbuh signifikan,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
109,bi jabar sosialisasi qris digitalisasi bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
110,sobat libur singapura bingung nukar rupiah brimo transaksi langsung rumit fitur qris brimo scan qris tanda nets payment otomatis konfirmasi transaksi mudah serba,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
111,bayar qris tunai mas,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
112,wta bayar qris kayak,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
113,line bank nonton cashback minimal transaksi qris nobu laku desember way nontonya cepol tulisanya tau isa cgv xi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
114,lucu banget nenek bayar qris,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
115,pola gacor deposit rp layan jam transaksi cepat praktis qris bonus event hari,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
116,bayar qris tibatiba jaring jelek langsung panik,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
117,kaumkaum kepedean kayak mah transaksi qris seabank like balas qris seabank sebanyakbanyaknya dapat untung,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
118,wow transaksi qris tagih,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
119,fitur scan qr code indonesia btnd qris qucik respons indonesia standard resethapus perangkat menu ting cek langsung status adu aplikasi paytren menu bantu informasi daftar cek link dibio,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
120,bayar dindomaret klik de qris de bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
121,lapor modal bukti transaksi qris inget nomor lambung chat layan langgan barang keren,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
122,bayar qris cicil transaksi hasil masuk notif dana refund bayar toko masuk limit cicil transaksi gagal mohon bantuanya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
123,mas wali sharing pas libur kemarin bst st balap kartu bayar tauny kayak djkt sopir memghimbau emoneyqris alih transport daring,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
124,minimal qris bisnis error kah transaksi jam masuk,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
125,barcode qris tf penuhin transaksi uang kembali,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
126,linkaja indonesia sobat linkaja wishlist gaji juli ayo linkaja atur uang gaji bayar qris bayar listrik bayar ecomerce beli pulsa hinga topup kartu uang elektronik mudah linkaja,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
127,kantin hobi jenenge lesu cari menu sanseng pangan iki maem soto warung soto tok seng iso bayar mbek qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
128,anime shopepay qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
129,scan toko qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
130,bank indonesia bi putus bebas tarif qris transaksi rp ribu transaksi rp ribu bi menentapkan besar tarif mdr,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
131,bayar starbucks card debit qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
132,jual nokos tele bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
133,januari mata qris bayar inovatif terap paham mengunakanya cek buka aplikasi bayar scan qrisperhatikan nama merchant isi nominalbayar pasti nama merchant,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
134,selamat siang lokasi transaksi milik data transaksi laku bank partner thailand integrasi jaring qris bank cimb thai beli bangkok bank bay bank ayudhya krungthai bank maura,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
135,transaksi qris potong,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
136,trik qrisnya beli barang pegawai toko bayar istri qris qrisnya qris bisa mandiri oke mandiri mas printing qr code bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
137,kurang qris kanal bayar bil dikit siasat simpan line debit card aplikasi bayar bil top ewalet manual isi rekening nohp,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
138,aad mohon maf ketidaknyamananya transaksi hasil batal transaksi mengunakan qris mohon sedia kece proses bayar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
139,qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
140,sumpah sebel banget anjay bayar qris tahan,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
141,nya fulset sealed bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
142,era digital bantu belanja transaksi qris praktis nyaman baca berita website favorit streaming film kirim pesan sahabat keluarga sanak saudara,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
143,iklan cerdas promosi bayar qris mengaet oma christine hakim referensi film familiar diperanin oma qristine hakim,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
144,wta qris bayar uang tahan kayak dab langsung masuk makaci sfu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
145,cashier gantung persero batas qris bank arah persero batas nuruti orang mah kerja aplgi langgan gmw digit nomerny ketik sebel banget masalahny pos harus digit nomor kartu gmw sistemny transaksi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
146,df transaksi pulsa lapak pulsa lapakn scan qris coba,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
147,permatamobile batas isi pulsa loh met quick respons qr bayar permatamobile scan qr code qris milik merchant bayar langsung rekening,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
148,wujud peran bi aktif dukung transformasi ekonomi uang digital kau coba qris lae,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
149,bi tetap tarif mdr transaksi mengunakan qris laku transaksi rp ribu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
150,naek angkot jalan kaki pesan ojol transaksi daring qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
151,kemarin transaksi qris status pembayaranya tunda saldo potong,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
152,ajang foto led jajan makan minum takut lapar hahaha ayo langsung jajan lupa bayar scan qris octo mobile,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
153,minimal beli tiket metode pemabayaran qris unduh sana expired pesan ulang metode qris lupa save qr nya qr transaksi harga tiket,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
154,besok qris kakak,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
155,kakak transaksi qris dmna,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
156,orang ngedit qris lucu aplikasi,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
