Tweets,Case Folding,Cleaning,Tokenization,Stopwords Removal,Stemming,Logistic Regression),Lexicon-Based
Penyebab harga bensin naik,penyebab harga bensin naik,penyebab harga bensin naik,"['penyebab', 'harga', 'bensin', 'naik']","['penyebab', 'harga', 'bensin']","['sebab', 'harga', 'bensin']",negative,positive
"BLT BBM Tahap II Rp 300 rb dipastikan cair November 2022. Tujuan bansos ini untuk meringankan beban ekonomi & menjaga daya beli rumah tangga miskin atau rentan sebagai dampak naiknya harga BBM.

Bersama mari hadapi berbagai ancaman krisis global.","blt bbm tahap ii rp 300 rb dipastikan cair november 2022. tujuan bansos ini untuk meringankan beban ekonomi & menjaga daya beli rumah tangga miskin atau rentan sebagai dampak naiknya harga bbm.

bersama mari hadapi berbagai ancaman krisis global.",blt bm tahap rp rb dipastikan cair november tujuan bansos ini untuk meringankan beban ekonomi menjaga daya beli rumah tanga miskin atau rentan sebagai dampak naiknya harga bm bersama mari hadapi berbagai ancaman krisis global,"['blt', 'bm', 'tahap', 'rp', 'rb', 'dipastikan', 'cair', 'november', 'tujuan', 'bansos', 'ini', 'untuk', 'meringankan', 'beban', 'ekonomi', 'menjaga', 'daya', 'beli', 'rumah', 'tanga', 'miskin', 'atau', 'rentan', 'sebagai', 'dampak', 'naiknya', 'harga', 'bm', 'bersama', 'mari', 'hadapi', 'berbagai', 'ancaman', 'krisis', 'global']","['blt', 'bm', 'tahap', 'rp', 'cair', 'november', 'tujuan', 'bansos', 'meringankan', 'beban', 'ekonomi', 'menjaga', 'daya', 'beli', 'rumah', 'tanga', 'miskin', 'rentan', 'dampak', 'naiknya', 'harga', 'bm', 'mari', 'hadapi', 'ancaman', 'krisis', 'global']","['blt', 'tahap', 'rp', 'cair', 'november', 'tuju', 'bansos', 'ringan', 'beban', 'ekonomi', 'jaga', 'daya', 'beli', 'rumah', 'tanga', 'miskin', 'rentan', 'dampak', 'naik', 'harga', 'mari', 'hadap', 'ancam', 'krisis', 'global']",neutral,positive
"Gy mana perekonomian hari ini???
Kayanya dampak kenaikan harga BBM begitu berasa saat ini...
Hampir 80% warung bilang minggu ini lagi sepi bang
Padahal ini tanggal muda...
Entahlah hanya rakyat kecil yg merasakan, pejabat sekarng mana peduli, masih lama ajah sibuk cupras capres","gy mana perekonomian hari ini???
kayanya dampak kenaikan harga bbm begitu berasa saat ini...
hampir 80% warung bilang minggu ini lagi sepi bang
padahal ini tanggal muda...
entahlah hanya rakyat kecil yg merasakan, pejabat sekarng mana peduli, masih lama ajah sibuk cupras capres",gy mana perekonomian hari ini kayanya dampak kenaikan harga bm begitu berasa sat ini hampir warung bilang mingu ini lagi sepi bang padahal ini tangal muda entahlah hanya rakyat kecil yg merasakan pejabat sekarng mana peduli masih lama ajah sibuk cupras capres,"['gy', 'mana', 'perekonomian', 'hari', 'ini', 'kayanya', 'dampak', 'kenaikan', 'harga', 'bm', 'begitu', 'berasa', 'sat', 'ini', 'hampir', 'warung', 'bilang', 'mingu', 'ini', 'lagi', 'sepi', 'bang', 'padahal', 'ini', 'tangal', 'muda', 'entahlah', 'hanya', 'rakyat', 'kecil', 'yg', 'merasakan', 'pejabat', 'sekarng', 'mana', 'peduli', 'masih', 'lama', 'ajah', 'sibuk', 'cupras', 'capres']","['gy', 'perekonomian', 'kayanya', 'dampak', 'kenaikan', 'harga', 'bm', 'berasa', 'sat', 'warung', 'mingu', 'sepi', 'bang', 'tangal', 'muda', 'rakyat', 'merasakan', 'pejabat', 'sekarng', 'peduli', 'sibuk', 'cupras', 'capres']","['ekonomi', 'kaya', 'dampak', 'naik', 'harga', 'asa', 'sat', 'warung', 'sepi', 'bang', 'muda', 'rakyat', 'rasa', 'jabat', 'peduli', 'sibuk', 'capres']",positive,positive
"Krisis ekonomi tahun 1998 terjadi, antara lain karena pelemahan rupiah, tak lama setelah Presiden Soeharto menaikkan harga BBM. Krisis ekonomi yang berujung aksi unjuk rasa akhirnya menumbangkan Soeharto yang sudah berkuasa 32 tahun.","krisis ekonomi tahun 1998 terjadi, antara lain karena pelemahan rupiah, tak lama setelah presiden soeharto menaikkan harga bbm. krisis ekonomi yang berujung aksi unjuk rasa akhirnya menumbangkan soeharto yang sudah berkuasa 32 tahun.",krisis ekonomi tahun terjadi antara lain karena pelemahan rupiah tak lama setelah presiden soeharto menaikan harga bm krisis ekonomi yang berujung aksi unjuk rasa akhirnya menumbangkan soeharto yang sudah berkuasa tahun,"['krisis', 'ekonomi', 'tahun', 'terjadi', 'antara', 'lain', 'karena', 'pelemahan', 'rupiah', 'tak', 'lama', 'setelah', 'presiden', 'soeharto', 'menaikan', 'harga', 'bm', 'krisis', 'ekonomi', 'yang', 'berujung', 'aksi', 'unjuk', 'rasa', 'akhirnya', 'menumbangkan', 'soeharto', 'yang', 'sudah', 'berkuasa', 'tahun']","['krisis', 'ekonomi', 'pelemahan', 'rupiah', 'presiden', 'soeharto', 'menaikan', 'harga', 'bm', 'krisis', 'ekonomi', 'berujung', 'aksi', 'unjuk', 'menumbangkan', 'soeharto', 'berkuasa']","['krisis', 'ekonomi', 'lemah', 'rupiah', 'presiden', 'soeharto', 'naik', 'harga', 'krisis', 'ekonomi', 'ujung', 'aksi', 'unjuk', 'soeharto', 'kuasa']",neutral,positive
"Cara cerdas menghadapi krisis energi, subsidi BBM bengkak? Jalan tol Mulu yg bangun, infrastruktur buat pesepeda ga pernah di lirik, sekedar menyediakan space di ruang publik","cara cerdas menghadapi krisis energi, subsidi bbm bengkak? jalan tol mulu yg bangun, infrastruktur buat pesepeda ga pernah di lirik, sekedar menyediakan space di ruang publik",cara cerdas menghadapi krisis energi subsidi bm bengkak jalan tol mulu yg bangun infrastruktur buat pesepeda ga pernah di lirik sekedar menyediakan space di ruang publik,"['cara', 'cerdas', 'menghadapi', 'krisis', 'energi', 'subsidi', 'bm', 'bengkak', 'jalan', 'tol', 'mulu', 'yg', 'bangun', 'infrastruktur', 'buat', 'pesepeda', 'ga', 'pernah', 'di', 'lirik', 'sekedar', 'menyediakan', 'space', 'di', 'ruang', 'publik']","['cerdas', 'menghadapi', 'krisis', 'energi', 'subsidi', 'bm', 'bengkak', 'jalan', 'tol', 'mulu', 'bangun', 'infrastruktur', 'pesepeda', 'lirik', 'sekedar', 'menyediakan', 'space', 'ruang', 'publik']","['cerdas', 'hadap', 'krisis', 'energi', 'subsidi', 'bengkak', 'jalan', 'tol', 'mulu', 'bangun', 'infrastruktur', 'dar', 'sedia', 'space', 'ruang', 'publik']",positive,positive
"Om M kalo mau lihat krisis BBM , nongkrong deh di SPBU Pertamina Krn banyak motor yg antri panjang utk beli BBM  pertalite. Jangan keseringan nongkrong di istana.","om m kalo mau lihat krisis bbm , nongkrong deh di spbu pertamina krn banyak motor yg antri panjang utk beli bbm  pertalite. jangan keseringan nongkrong di istana.",om kalo mau lihat krisis bm nongkrong deh di spbu pertamina krn banyak motor yg antri panjang utk beli bm pertalite jangan keseringan nongkrong di istana,"['om', 'kalo', 'mau', 'lihat', 'krisis', 'bm', 'nongkrong', 'deh', 'di', 'spbu', 'pertamina', 'krn', 'banyak', 'motor', 'yg', 'antri', 'panjang', 'utk', 'beli', 'bm', 'pertalite', 'jangan', 'keseringan', 'nongkrong', 'di', 'istana']","['krisis', 'bm', 'nongkrong', 'spbu', 'pertamina', 'motor', 'antri', 'beli', 'bm', 'pertalite', 'keseringan', 'nongkrong', 'istana']","['krisis', 'nongkrong', 'spbu', 'pertamina', 'motor', 'antri', 'beli', 'pertalite', 'sering', 'nongkrong', 'istana']",negative,positive
"Kinerja penerimaan perpajakan menunjukkan progress positif

Sokongan penerimaan pajak dalam #APBNKita salah satunya bertransformasi berbentuk penyaluran bantuan langsung kepada masyarakat untuk mengurangi dampak kenaikan harga BBM.","kinerja penerimaan perpajakan menunjukkan progress positif

sokongan penerimaan pajak dalam #apbnkita salah satunya bertransformasi berbentuk penyaluran bantuan langsung kepada masyarakat untuk mengurangi dampak kenaikan harga bbm.",kinerja peneriman perpajakan menunjukan progres positif sokongan peneriman pajak dalam salah satunya bertransformasi berbentuk penyaluran bantuan langsung kepada masyarakat untuk mengurangi dampak kenaikan harga bm,"['kinerja', 'peneriman', 'perpajakan', 'menunjukan', 'progres', 'positif', 'sokongan', 'peneriman', 'pajak', 'dalam', 'salah', 'satunya', 'bertransformasi', 'berbentuk', 'penyaluran', 'bantuan', 'langsung', 'kepada', 'masyarakat', 'untuk', 'mengurangi', 'dampak', 'kenaikan', 'harga', 'bm']","['kinerja', 'peneriman', 'perpajakan', 'menunjukan', 'progres', 'positif', 'sokongan', 'peneriman', 'pajak', 'salah', 'satunya', 'bertransformasi', 'berbentuk', 'penyaluran', 'bantuan', 'masyarakat', 'mengurangi', 'dampak', 'kenaikan', 'harga', 'bm']","['kerja', 'positif', 'pajak', 'salah', 'satu', 'salur', 'bantu', 'masyarakat', 'kurang', 'dampak', 'naik', 'harga']",positive,positive
"Hari ini 
@jokowi
 sibuk prioritaskan proyek abal2 “IKN” seolah-olah tidak sadar Indonesia sedang krisis bayar utang (cicilan pokok 400T, bunga 405T. 1/3 APBN) sehingga rakyat dikorbankan dgn kenaikan harga BBM, pajak, listrik. Situ jangan egois, sono belajar dari Pres Habibie","hari ini 
@jokowi
 sibuk prioritaskan proyek abal2 “ikn” seolah-olah tidak sadar indonesia sedang krisis bayar utang (cicilan pokok 400t, bunga 405t. 1/3 apbn) sehingga rakyat dikorbankan dgn kenaikan harga bbm, pajak, listrik. situ jangan egois, sono belajar dari pres habibie",hari ini sibuk prioritaskan proyek abal ikn seolaholah tidak sadar indonesia sedang krisis bayar utang cicilan pokok bunga apbn sehinga rakyat dikorbankan dgn kenaikan harga bm pajak listrik situ jangan egois sono belajar dari pres habibie,"['hari', 'ini', 'sibuk', 'prioritaskan', 'proyek', 'abal', 'ikn', 'seolaholah', 'tidak', 'sadar', 'indonesia', 'sedang', 'krisis', 'bayar', 'utang', 'cicilan', 'pokok', 'bunga', 'apbn', 'sehinga', 'rakyat', 'dikorbankan', 'dgn', 'kenaikan', 'harga', 'bm', 'pajak', 'listrik', 'situ', 'jangan', 'egois', 'sono', 'belajar', 'dari', 'pres', 'habibie']","['sibuk', 'prioritaskan', 'proyek', 'abal', 'ikn', 'seolaholah', 'sadar', 'indonesia', 'krisis', 'bayar', 'utang', 'cicilan', 'pokok', 'bunga', 'apbn', 'sehinga', 'rakyat', 'dikorbankan', 'kenaikan', 'harga', 'bm', 'pajak', 'listrik', 'situ', 'egois', 'sono', 'belajar', 'pres', 'habibie']","['sibuk', 'proyek', 'abal', 'ikn', 'sadar', 'indonesia', 'krisis', 'bayar', 'utang', 'cicil', 'pokok', 'bunga', 'apbn', 'rakyat', 'korban', 'naik', 'harga', 'pajak', 'listrik', 'situ', 'egois', 'sono', 'ajar', 'habibie']",positive,positive
Pantess ya harga bensin naik tp yg ngantri isi bensin malah makin panjang kayaknya ,pantess ya harga bensin naik tp yg ngantri isi bensin malah makin panjang kayaknya ,pantes ya harga bensin naik tp yg ngantri isi bensin malah makin panjang kayaknya,"['pantes', 'ya', 'harga', 'bensin', 'naik', 'tp', 'yg', 'ngantri', 'isi', 'bensin', 'malah', 'makin', 'panjang', 'kayaknya']","['pantes', 'harga', 'bensin', 'ngantri', 'isi', 'bensin', 'kayaknya']","['pantes', 'harga', 'bensin', 'ngantri', 'isi', 'bensin', 'kayak']",negative,positive
"Very mean but honestly, I defaulted (not adopted) to that behavior as well. Pag may lumalapit na BBM o DDS supporter, ang standard kong sagot e ""Huwag muna ngayon, nasa krisis pa e. Try natin after 6 years."".

Bec it's true. Need to prepare for the worst.","very mean but honestly, i defaulted (not adopted) to that behavior as well. pag may lumalapit na bbm o dds supporter, ang standard kong sagot e ""huwag muna ngayon, nasa krisis pa e. try natin after 6 years."".

bec it's true. need to prepare for the worst.",very mean but honestly defaulted not adopted to that behavior as wel pag may lumalapit na bm ds suporter ang standard kong sagot huwag muna ngayon nasa krisis pa try natin after years bec its true ned to prepare for the worst,"['very', 'mean', 'but', 'honestly', 'defaulted', 'not', 'adopted', 'to', 'that', 'behavior', 'as', 'wel', 'pag', 'may', 'lumalapit', 'na', 'bm', 'ds', 'suporter', 'ang', 'standard', 'kong', 'sagot', 'huwag', 'muna', 'ngayon', 'nasa', 'krisis', 'pa', 'try', 'natin', 'after', 'years', 'bec', 'its', 'true', 'ned', 'to', 'prepare', 'for', 'the', 'worst']","['very', 'mean', 'honestly', 'defaulted', 'not', 'adopted', 'behavior', 'wel', 'pag', 'lumalapit', 'bm', 'ds', 'suporter', 'ang', 'standard', 'kong', 'sagot', 'huwag', 'muna', 'ngayon', 'nasa', 'krisis', 'pa', 'try', 'natin', 'after', 'years', 'bec', 'its', 'true', 'ned', 'prepare', 'worst']","['mean', 'honestly', 'pag', 'ds', 'ang', 'standard', 'kong', 'sagot', 'ngayon', 'nasa', 'krisis', 'pa', 'natin', 'after', 'its', 'worst']",negative,positive
"Kalian yang menjabat digaji dari uang rakyat, tapi kenapa tega sengsarakan kehidupan rakyat ??

Kenaikan harga BBM saat krisis karena pandemi belum pulih kembali, menandakan KAU MEMANG TAK PEDULI NASIB KAMI.
#DramaSalahSubsidi
#DramaSalahSubsidi","kalian yang menjabat digaji dari uang rakyat, tapi kenapa tega sengsarakan kehidupan rakyat ??

kenaikan harga bbm saat krisis karena pandemi belum pulih kembali, menandakan kau memang tak peduli nasib kami.
#dramasalahsubsidi
#dramasalahsubsidi",kalian yang menjabat digaji dari uang rakyat tapi kenapa tega sengsarakan kehidupan rakyat kenaikan harga bm sat krisis karena pandemi belum pulih kembali menandakan kau memang tak peduli nasib kami,"['kalian', 'yang', 'menjabat', 'digaji', 'dari', 'uang', 'rakyat', 'tapi', 'kenapa', 'tega', 'sengsarakan', 'kehidupan', 'rakyat', 'kenaikan', 'harga', 'bm', 'sat', 'krisis', 'karena', 'pandemi', 'belum', 'pulih', 'kembali', 'menandakan', 'kau', 'memang', 'tak', 'peduli', 'nasib', 'kami']","['menjabat', 'digaji', 'uang', 'rakyat', 'tega', 'sengsarakan', 'kehidupan', 'rakyat', 'kenaikan', 'harga', 'bm', 'sat', 'krisis', 'pandemi', 'pulih', 'menandakan', 'kau', 'peduli', 'nasib']","['jabat', 'gaji', 'uang', 'rakyat', 'tega', 'sengsara', 'hidup', 'rakyat', 'naik', 'harga', 'sat', 'krisis', 'pandemi', 'pulih', 'tanda', 'kau', 'peduli', 'nasib']",negative,positive
"- Mobil Listrik paling murah 700 juta rupiah. Suplai energi EV yg dipakai BUMN dikasih Diskon oleh PLN.
Alasan ; Mempercepat Program Pemerintah
- Honda ASTREA Geter harga 7 juta. Bensin Pertalite. Harga BBM Naik krn Subsidi BBM kalian membebani Negara..

Renungkan stlah Jumatan","- mobil listrik paling murah 700 juta rupiah. suplai energi ev yg dipakai bumn dikasih diskon oleh pln.
alasan ; mempercepat program pemerintah
- honda astrea geter harga 7 juta. bensin pertalite. harga bbm naik krn subsidi bbm kalian membebani negara..

renungkan stlah jumatan",mobil listrik paling murah juta rupiah suplai energi ev yg dipakai bumn dikasih diskon oleh pln alasan mempercepat program pemerintah honda astrea geter harga juta bensin pertalite harga bm naik krn subsidi bm kalian membebani negara renungkan stlah jumatan,"['mobil', 'listrik', 'paling', 'murah', 'juta', 'rupiah', 'suplai', 'energi', 'ev', 'yg', 'dipakai', 'bumn', 'dikasih', 'diskon', 'oleh', 'pln', 'alasan', 'mempercepat', 'program', 'pemerintah', 'honda', 'astrea', 'geter', 'harga', 'juta', 'bensin', 'pertalite', 'harga', 'bm', 'naik', 'krn', 'subsidi', 'bm', 'kalian', 'membebani', 'negara', 'renungkan', 'stlah', 'jumatan']","['mobil', 'listrik', 'murah', 'juta', 'rupiah', 'suplai', 'energi', 'ev', 'dipakai', 'bumn', 'dikasih', 'diskon', 'pln', 'alasan', 'mempercepat', 'program', 'pemerintah', 'honda', 'astrea', 'geter', 'harga', 'juta', 'bensin', 'pertalite', 'harga', 'bm', 'subsidi', 'bm', 'membebani', 'negara', 'renungkan', 'stlah', 'jumatan']","['mobil', 'listrik', 'murah', 'juta', 'rupiah', 'suplai', 'energi', 'ev', 'pakai', 'bumn', 'kasih', 'diskon', 'pln', 'alas', 'cepat', 'program', 'perintah', 'honda', 'harga', 'juta', 'bensin', 'pertalite', 'harga', 'subsidi', 'beban', 'negara', 'renung', 'stlah']",neutral,positive
"Meski harga-harga naik, bensin naik, nanti berlanjut ke yang lain, kita harus pintar mengelola keuangan kita. Katanya yakin, nanti bisa selamat dan bangkit menjadi lebih baik.
wk","meski harga-harga naik, bensin naik, nanti berlanjut ke yang lain, kita harus pintar mengelola keuangan kita. katanya yakin, nanti bisa selamat dan bangkit menjadi lebih baik.
wk",meski hargaharga naik bensin naik nanti berlanjut ke yang lain kita harus pintar mengelola keuangan kita katanya yakin nanti bisa selamat dan bangkit menjadi lebih baik wk,"['meski', 'hargaharga', 'naik', 'bensin', 'naik', 'nanti', 'berlanjut', 'ke', 'yang', 'lain', 'kita', 'harus', 'pintar', 'mengelola', 'keuangan', 'kita', 'katanya', 'yakin', 'nanti', 'bisa', 'selamat', 'dan', 'bangkit', 'menjadi', 'lebih', 'baik', 'wk']","['hargaharga', 'bensin', 'berlanjut', 'pintar', 'mengelola', 'keuangan', 'selamat', 'bangkit']","['bensin', 'lanjut', 'pintar', 'uang', 'selamat', 'bangkit']",neutral,positive
Bakar aja tuh kantor pusat NATO. Gara-gara ikutin mainan badut Ukraina.. semua krisis BBM sedunia https://twitter.com/sahouraxo/status/1566124590891515905…,bakar aja tuh kantor pusat nato. gara-gara ikutin mainan badut ukraina.. semua krisis bbm sedunia https://twitter.com/sahouraxo/status/1566124590891515905…,bakar aja tuh kantor pusat nato garagara ikutin mainan badut ukraina semua krisis bm sedunia,"['bakar', 'aja', 'tuh', 'kantor', 'pusat', 'nato', 'garagara', 'ikutin', 'mainan', 'badut', 'ukraina', 'semua', 'krisis', 'bm', 'sedunia']","['bakar', 'kantor', 'pusat', 'nato', 'garagara', 'ikutin', 'mainan', 'badut', 'ukraina', 'krisis', 'bm', 'sedunia']","['bakar', 'kantor', 'pusat', 'ikutin', 'main', 'ukraina', 'krisis', 'dunia']",negative,positive
